City Name,Population,Idk,Area Code
Erie,102612,245,16515
Philadelphia,1463281,5,19104
Pittsburgh,316718,57,15290
Providence,176862,124,02904
Charleston,106712,227,29401
Columbia,117088,202,29201
Sioux Falls,139517,167,57104
Chattanooga,154762,143,37421
Clarksville,112878,211,37043
Knoxville,180130,119,37950
Memphis,672277,17,38101
Nashville-6,549110,28,37230
Abilene,114757,206,79604
Amarillo,183021,118,79120
Arlington,362805,50,76004
Austin,690252,16,78710
Beaumont,111799,215,77707
Brownsville,167493,132,78520
Carrollton,118870,197,75006
Corpus Christi,283474,64,78469
Dallas,1213825,9,75260
Denton,104153,238,76201
El Paso,598590,21,79910
Fort Worth,624067,19,76161
Garland,216346,86,75040
Grand Prairie,144337,157,75051
Houston,2016582,4,77201
Irving,193649,110,75061
Killeen,100233,252,76541
Laredo,208754,92,78041
Lubbock,209737,91,79402
McAllen,123622,190,78501
Mesquite,129902,180,75149
Pasadena,143852,159,77501
Plano,250096,70,75074
San Antonio,1256509,7,78284
Waco,120465,195,76702
Salt Lake City,178097,122,84199
West Valley City,113300,209,84199
Alexandria,135337,171,22314
Arlington CDP,195965,103,23320
Chesapeake,218968,85,23670
Hampton,145579,155,23607
Newport News,179899,120,23501
Norfolk,231954,78,23707
Portsmouth,100169,253,23702
Richmond,193777,108,23232
Virginia Beach,438415,42,23450
Bellevue,117137,201,98009
Seattle,573911,23,98108
Spokane,196818,101,99201
Tacoma,195898,104,98413
Vancouver,157493,142,98668
Green Bay,101203,248,54303
Madison,221551,83,53714
Milwaukee,578887,22,53203,
